"birth_year","male","poverty","family_income","weeks_unemployed","urban","number_of_jobs_ever","number_children","age_at_first_child","hours_worked_in_week","education","educational_loans"
1959,0,0,43000,0,1,3,1,34,35,1,NA
1962,0,0,53000,0,1,NA,2,17,30,1,2500
1959,1,0,52200,0,1,NA,1,29,60,7,17000
1960,1,0,157000,0,1,12,3,30,40,4,6000
1958,0,0,41200,0,1,13,1,17,45,2,500
1963,1,0,150000,0,1,5,1,27,NA,2,NA
1964,1,0,497763,0,1,9,4,33,NA,3,8000
1958,0,0,90000,0,1,12,3,31,38,1,NA
1959,0,0,190500,0,1,12,1,30,40,4,NA
1959,0,NA,185000,0,0,3,2,30,24,1,NA
1962,1,0,105000,0,1,8,3,32,20,4,4000
1960,0,0,497763,0,1,15,1,27,43,3,1500
1958,0,0,34084,0,1,4,3,23,NA,1,NA
1963,1,1,74000,0,1,12,1,25,40,1,NA
1963,0,0,56050,0,0,NA,2,26,50,2,NA
1958,0,0,124100,0,1,4,1,31,35,1,NA
1959,1,0,94000,0,1,16,1,37,50,1,NA
1960,1,0,158110,NA,0,16,2,43,40,2,329
1962,1,0,136500,0,1,12,2,37,50,3,NA
1963,1,0,159000,0,1,9,3,28,40,1,1200
1961,0,NA,8016,0,1,19,3,20,NA,1,NA
1959,1,0,72400,0,1,NA,1,33,60,1,NA
1962,0,0,132000,0,1,NA,2,31,48,4,7500
1958,1,0,26500,0,1,NA,2,20,75,1,NA
1958,0,0,133115,0,1,13,1,23,NA,2,NA
1958,0,0,119800,0,1,8,2,26,35,1,NA
1958,0,0,46833,30,1,25,2,20,49,1,NA
1957,0,0,56312,0,1,8,1,24,40,5,NA
1961,1,0,191000,0,1,10,1,26,55,1,NA
1962,0,0,121515,0,1,14,2,30,NA,2,NA
1964,0,0,59000,0,1,16,3,31,40,2,NA
1960,1,0,497763,0,1,9,2,32,45,4,5000
1962,0,0,497763,0,1,14,3,30,NA,3,10000
1963,1,NA,102000,0,1,NA,3,33,52,7,13000
1963,1,0,210500,0,1,NA,2,45,100,5,NA
1962,0,NA,185000,0,1,19,2,32,50,3,12000
1964,1,NA,160000,0,1,12,3,33,NA,2,7000
1957,0,0,114615,0,0,NA,4,31,10,4,6000
1960,1,0,408473,4,1,NA,3,29,40,5,18250
1957,1,NA,62296,10,1,12,1,24,40,4,NA
1958,1,NA,173000,0,1,13,1,34,80,4,NA
1963,0,NA,67000,0,1,15,2,30,50,4,NA
1962,0,NA,36384,0,1,7,1,19,39,1,NA
1960,0,0,50000,0,1,12,3,24,40,1,NA
1961,0,1,52000,0,1,17,1,18,44,1,NA
1958,0,0,65008,52,1,9,1,29,20,2,NA
1957,0,0,16440,0,1,8,3,29,NA,1,2500
1957,0,0,41000,0,1,10,2,29,58,2,NA
1963,0,0,81000,0,1,12,1,21,38,1,NA
1958,1,0,120100,0,1,14,3,36,NA,8,20000
1957,1,NA,130000,0,1,11,2,26,40,1,NA
1963,0,NA,75200,0,1,27,1,18,31,1,NA
1957,1,NA,22404,0,1,NA,2,25,40,1,NA
1962,1,NA,71200,0,1,NA,2,27,40,4,787
1961,0,NA,12250,52,0,24,1,27,40,2,NA
1962,0,0,45000,0,1,11,1,29,40,1,NA
1961,1,NA,71000,30,1,NA,2,29,90,1,NA
1964,1,NA,160300,0,0,13,1,30,40,1,NA
1961,0,0,264030,0,1,12,1,26,40,4,5000
1962,0,0,186000,18,1,16,2,26,NA,4,6300
1958,0,0,225000,0,1,6,1,34,80,5,NA
1961,0,0,113000,0,1,NA,4,23,36,4,18000
1964,0,0,44025,0,1,6,3,27,32,1,NA
1961,0,0,100600,0,1,6,1,25,20,1,NA
1964,0,0,184100,0,1,8,1,27,45,1,NA
1962,0,0,240000,0,1,11,1,23,65,5,22000
1960,0,0,165500,0,1,NA,5,24,35,4,NA
1960,0,0,125050,0,1,13,1,30,40,2,NA
1961,0,0,152000,0,0,12,2,32,40,1,NA
1961,1,0,83500,0,1,NA,4,28,45,5,11000
1960,0,0,168000,0,1,9,3,27,NA,1,NA
1960,0,NA,36728,22,0,NA,2,25,85,1,NA
1957,0,0,24400,0,1,13,1,24,NA,1,4500
1957,0,0,179000,0,1,NA,2,20,20,8,NA
1958,1,0,98000,0,1,10,2,34,110,2,NA
1958,0,0,34000,0,1,NA,2,25,40,1,NA
1961,0,0,61000,0,1,17,1,38,44,4,12000
1959,0,0,110000,0,1,14,1,31,50,2,10000
1961,0,0,157000,0,1,10,1,33,50,5,NA
1963,1,0,212000,0,1,12,1,30,55,8,7500
1963,0,0,497763,0,1,10,3,27,40,3,8000
1958,1,0,130690,0,1,6,1,30,50,4,7500
1964,1,0,54300,0,1,NA,2,28,65,3,2500
1959,1,0,175100,0,1,13,3,35,50,5,3500
1964,1,0,140200,0,1,NA,3,26,50,5,15000
1962,0,0,29379,0,0,24,1,26,100,1,NA
1963,1,0,243500,0,1,4,2,37,45,5,15000
1958,0,0,106114,0,1,9,2,24,42,1,NA
1957,1,0,241000,0,1,7,1,31,35,3,1500
1962,1,0,157250,0,1,15,2,36,45,3,NA
1964,0,0,47900,0,1,10,4,32,54,3,NA
1961,1,NA,265000,0,1,11,1,30,50,1,NA
1960,1,0,56500,0,1,NA,1,26,35,2,NA
1957,1,0,497763,0,1,10,1,30,90,4,NA
1960,0,1,14040,0,1,2,2,13,30,1,NA
1963,1,0,23100,0,1,NA,5,18,40,1,2500
1957,0,0,32772,0,1,7,1,17,40,1,NA
1957,0,0,76162,0,1,7,2,32,40,1,NA
1964,1,0,78000,0,1,10,1,20,40,1,NA
1957,0,0,85500,0,1,14,1,17,30,8,NA
1962,0,0,58500,0,0,8,3,29,32,2,NA
1964,1,0,75000,0,1,NA,1,27,50,3,NA
1959,1,1,182000,0,1,18,2,27,50,6,10000
1963,0,1,94300,0,1,8,2,19,24,2,12000
1958,0,0,70000,0,1,4,1,23,NA,1,NA
1964,0,1,63250,0,1,7,2,18,20,1,NA
1961,0,NA,43000,0,0,10,1,19,40,1,NA
1962,0,0,96677,11,1,8,3,20,65,1,NA
1961,0,0,10500,52,1,18,1,18,25,1,NA
1959,1,0,81000,0,1,27,1,21,74,1,NA
1963,1,0,208000,0,1,6,2,37,40,1,2000
1960,0,0,58000,0,1,NA,2,24,80,1,NA
1962,1,0,38860,0,1,NA,1,29,40,1,NA
1962,0,0,101234,0,1,10,3,27,3,4,8000
1959,1,0,241000,0,1,9,4,30,50,4,NA
1957,0,0,160000,2,1,11,1,27,NA,4,4800
1959,1,0,13200,21,1,12,2,32,40,2,NA
1963,0,1,63500,0,1,19,2,28,95,1,1500
1961,1,0,190500,0,1,6,3,33,45,5,11900
1963,0,0,86000,0,1,15,2,27,56,4,10000
1958,0,NA,47480,0,1,NA,1,22,40,1,NA
1961,0,NA,33952,0,1,4,4,17,30,1,NA
1957,0,NA,86200,0,1,13,2,33,40,5,4000
1961,0,0,79200,0,1,6,1,21,40,1,NA
1963,1,0,66560,0,1,NA,3,23,40,1,NA
1957,0,0,15000,0,1,6,1,20,NA,1,NA
1964,0,1,65080,0,1,NA,2,25,80,2,NA
1961,1,1,86000,0,1,6,2,26,40,1,NA
1959,1,0,78892,0,1,NA,1,25,50,1,NA
1960,1,0,122000,0,1,5,1,29,NA,1,NA
1963,1,0,48140,0,1,9,3,20,40,1,NA
1958,0,NA,280000,0,0,9,1,22,40,2,NA
1959,1,0,68017,0,0,5,2,32,50,4,NA
1960,1,NA,240000,0,1,13,2,31,NA,1,NA
1957,0,0,139000,0,1,NA,3,31,24,4,NA
1963,1,1,21600,0,1,18,2,21,NA,1,NA
1962,0,1,11000,0,1,13,2,18,20,2,22000
1963,1,0,149000,0,0,6,2,33,40,5,11000
1959,0,NA,142500,21,1,16,1,30,15,5,2500
1962,1,0,170400,0,1,20,2,32,50,4,2400
1962,0,0,108000,0,0,NA,2,26,35,3,10000
1958,1,0,390662,0,1,NA,2,25,40,1,NA
1962,1,0,170000,0,1,15,2,34,8,4,NA
1957,0,0,101614,0,1,3,2,32,30,1,NA
1964,1,0,155000,0,1,13,3,27,50,1,500
1958,1,0,142760,0,1,15,3,36,60,4,2500
1961,1,0,168000,0,1,10,2,32,80,4,2500
1959,1,NA,120900,0,1,10,1,27,55,3,NA
1961,0,NA,185000,0,1,15,2,25,59,1,2500
1963,1,NA,1,0,1,NA,2,31,120,4,10000
1958,0,0,135004,0,1,6,1,32,25,3,NA
1959,0,0,68064,0,1,NA,3,26,8,2,NA
1961,0,0,209240,0,1,NA,2,18,40,1,NA
1960,1,1,46000,0,1,NA,1,32,65,1,NA
1962,1,1,81000,0,1,NA,2,19,62,1,NA
1961,0,0,46050,0,1,7,3,25,39,1,NA
1962,0,0,84400,0,1,11,2,24,60,8,7500
1963,0,0,54000,0,1,10,2,18,50,1,NA
1962,1,0,106000,0,1,4,1,37,40,8,NA
1961,0,0,104500,0,1,11,1,28,45,4,4500
1958,0,NA,21000,0,1,2,1,23,40,1,NA
1959,0,0,80000,0,1,8,2,31,50,2,NA
1963,0,0,221000,0,1,15,2,31,48,5,17000
1960,1,0,51515,24,0,10,1,23,78,1,NA
1964,0,1,28951,0,1,6,1,23,30,1,NA
1963,1,0,34500,19,1,31,2,35,72,1,NA
1964,1,0,35000,0,0,17,2,25,80,3,18500
1957,1,0,1,0,1,NA,2,30,70,7,12000
1960,0,0,195000,0,1,22,2,34,140,8,23000
1957,0,NA,19800,0,0,9,2,18,32,1,NA
1957,0,NA,31914,26,1,NA,1,22,60,1,NA
1958,0,NA,66000,0,0,NA,2,23,11,2,1500
1958,1,0,77000,0,1,NA,1,33,40,5,NA
1960,0,NA,42000,0,1,8,2,27,40,2,NA
1957,0,0,24102,0,1,1,2,23,38,1,NA
1961,0,0,178350,0,1,8,2,32,40,4,13500
1964,1,0,127100,0,0,30,2,43,6,3,5000
1958,0,0,28000,52,1,NA,1,22,80,1,NA
1964,1,0,45000,0,0,NA,3,20,70,1,NA
1960,1,0,60100,0,1,10,2,32,50,4,6500
1963,0,0,169000,0,1,7,3,27,38,5,15000
1960,0,NA,110100,0,1,7,1,35,64,5,7500
1963,0,0,65700,NA,1,11,1,20,39,1,NA
1960,0,0,59952,52,1,12,1,24,NA,3,NA
1958,1,NA,182800,0,1,5,2,30,45,3,5000
1959,0,NA,40556,0,1,4,1,19,NA,1,NA
1961,0,NA,32000,0,1,6,3,28,40,1,NA
1964,0,0,70366,0,1,11,1,25,NA,1,NA
1963,1,0,140900,0,1,10,2,21,64,8,4500
1957,1,0,120100,0,1,5,1,30,40,8,2500
1959,1,0,497763,0,1,12,1,28,50,4,2000
1957,1,0,260350,0,1,4,2,32,NA,1,NA
1962,0,0,72300,0,1,16,1,17,22,1,NA
1963,1,NA,75100,0,1,9,1,26,50,1,NA
1961,1,0,69020,0,1,15,3,30,NA,1,NA
1957,1,0,16480,15,1,NA,1,22,40,2,NA
1961,0,0,108270,0,1,8,3,27,84,1,NA
1964,1,0,70000,0,1,15,1,36,NA,1,2620
1958,0,0,109000,0,1,NA,2,26,40,2,NA
1960,0,0,33200,0,1,5,1,25,40,4,15000
1959,1,0,32300,0,1,NA,3,22,40,1,NA
1963,0,0,159600,0,1,15,2,35,40,5,1600
1960,1,0,103030,0,1,3,1,28,45,8,NA
1963,1,0,28040,0,1,NA,2,20,40,4,2500
1961,1,1,105200,0,1,4,1,27,45,1,700
1964,0,0,35000,0,1,NA,2,22,20,3,NA
1963,1,1,1,0,0,13,4,28,NA,1,1000
1958,1,0,116581,9,1,6,3,25,130,4,2500
